,Year,Country,Participant,Song,Points,Competition,Qualified,Rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
36,2023,France,La Zarra,Évidemment,104,Grand Final,NaN,16th,0.718,0.743,11,-4.581,1,0.069,0.129,0,0.0778,0.272,120.044,181000
37,2023,Cyprus,Andrew Lambrou,Break A Broken Heart,126,Grand Final,NaN,12th,0.432,0.736,3,-4.068,0,0.038,0.0643,0,0.191,0.426,129.667,178507
38,2023,Spain,Blanca Paloma,Eaea,100,Grand Final,NaN,17th,0.607,0.731,5,-4.462,0,0.0369,0.0702,3.13e-05,0.389,0.255,116.021,179680
39,2023,Sweden,Loreen,Tattoo,583,Grand Final,NaN,1st,0.545,0.779,3,-6.235,0,0.0751,0.243,1.66e-06,0.123,0.303,150.002,183375
40,2023,Albania,Albina & Familja Kelmendi,Duje,76,Grand Final,NaN,22nd,0.499,0.355,11,-13.273,1,0.035,0.908,0.211,0.104,0.531,91.724,137613
41,2023,Italy,Marco Mengoni,Due Vite,350,Grand Final,NaN,4th,0.635,0.541,2,-6.157,1,0.0314,0.4,0,0.0879,0.133,116.938,225653
42,2023,Estonia,Alika,Bridges,168,Grand Final,NaN,8th,0.589,0.47,0,-5.243,0,0.0321,0.844,0,0.139,0.326,139.83,185610
43,2023,Finland,Käärijä,Cha Cha Cha,526,Grand Final,NaN,2nd,0.718,0.791,2,-5.572,1,0.0447,0.00207,0.00292,0.111,0.743,155.082,175161
44,2023,Czechia,Vesna,My Sister's Crown,129,Grand Final,NaN,10th,0.545,0.919,4,-5.879,0,0.159,0.0512,0,0.369,0.508,149.869,176800
45,2023,Australia,Voyager,Promise,151,Grand Final,NaN,9th,0.643,0.692,0,-8.319,1,0.0718,0.00167,0.00245,0.108,0.299,121.953,183511
46,2023,Belgium,Gustaph,Because Of You,182,Grand Final,NaN,7th,0.765,0.827,5,-5.204,0,0.0388,0.0169,0,0.0972,0.578,126.555,179908
47,2023,Armenia,Brunette,Future Lover,122,Grand Final,NaN,14th,0.556,0.435,2,-10.851,0,0.0435,0.887,0,0.101,0.24,103.114,166019
48,2023,Moldova,Pasha Parfeni,Soarele şi Luna,96,Grand Final,NaN,18th,0.619,0.857,8,-5.166,1,0.137,0.36,0,0.181,0.335,124.957,178800
49,2023,Ukraine,TVORCHI,Heart Of Steel,243,Grand Final,NaN,6th,0.529,0.523,8,-7.837,0,0.0466,0.00738,0,0.0903,0.338,78.088,158462
50,2023,Norway,Alessandra,Queen of Kings,268,Grand Final,NaN,5th,0.563,0.908,4,-4.25,0,0.0868,0.0696,0,0.328,0.171,125.972,147980
51,2023,Germany,Lord of the Lost,Blood & Glitter,18,Grand Final,NaN,26th,0.639,0.801,9,-4.292,0,0.0844,0.011,3.4e-06,0.05,0.471,139.473,179101
52,2023,Lithuania,Monika Linkytė,Stay,127,Grand Final,NaN,11th,0.4,0.546,11,-6.899,1,0.0381,0.0264,0,0.0833,0.184,97.982,184286
53,2023,Israel,Noa Kirel,Unicorn,362,Grand Final,NaN,3rd,0.681,0.868,6,-5.499,0,0.095,0.0216,0.00023,0.323,0.282,130.126,170900
54,2023,Slovenia,Joker Out,Carpe Diem,78,Grand Final,NaN,21st,0.689,0.663,1,-8.778,0,0.0427,0.00906,2.55e-05,0.102,0.555,131.936,165703
55,2023,Croatia,Let 3,Mama ŠČ!,123,Grand Final,NaN,13th,0.603,0.781,0,-6.865,1,0.0857,0.156,0,0.209,0.628,135.05,154778
56,2023,United Kingdom,Mae Muller,I Wrote A Song,24,Grand Final,NaN,25th,0.649,0.71,9,-6.005,0,0.0537,0.306,0,0.101,0.79,121.979,191000
57,2022,Albania,Ronela Hajati,Sekret,58,First Semi-Final,no,12th,0.76,0.695,5,-6.088,0,0.0502,0.0451,0.00413,0.515,0.452,100.005,181117
58,2022,Latvia,Citi Zēni,Eat Your Salad,55,First Semi-Final,no,14th,0.752,0.693,11,-7.731,0,0.169,0.0121,0,0.335,0.591,115.031,181035
59,2022,Lithuania,Monika Liu,Sentimentai,159,First Semi-Final,yes,7th,0.675,0.555,0,-7.995,1,0.0325,0.0902,0.00411,0.314,0.5,93.075,180000
60,2022,Switzerland,Marius Bear,Boys Do Cry,118,First Semi-Final,yes,9th,0.415,0.182,5,-10.504,1,0.036,0.866,0,0.108,0.388,115.973,176602
61,2022,Slovenia,LPS,Disko,15,First Semi-Final,no,17th,0.683,0.611,4,-6.337,0,0.0287,0.00179,0,0.0531,0.601,119.991,179623
62,2022,Ukraine,Kalush Orchestra,Stefania,337,First Semi-Final,yes,1st,0.832,0.817,2,-5.182,1,0.0422,0.145,0.00169,0.115,0.324,104.985,179546
63,2022,Bulgaria,Intelligent Music Project,Intention,29,First Semi-Final,no,16th,0.517,0.836,2,-7.648,1,0.0338,0.0253,0.0213,0.244,0.718,80.108,178500
64,2022,Netherlands,S10,De Diepte,221,First Semi-Final,yes,2nd,0.502,0.397,2,-8.819,0,0.0282,0.378,3.44e-05,0.143,0.159,90.043,176604
65,2022,Moldova,Zdob şi Zdub & Advahov Brothers,Trenulețul,154,First Semi-Final,yes,8th,0.701,0.884,0,-3.49,1,0.142,0.406,2.44e-05,0.319,0.955,141.975,180031
66,2022,Portugal,MARO,"Saudade, Saudade",208,First Semi-Final,yes,4th,0.644,0.337,10,-11.261,0,0.0357,0.681,0.000208,0.108,0.376,82.992,181227
67,2022,Croatia,Mia Dimšić,Guilty Pleasure,75,First Semi-Final,no,11th,0.529,0.587,5,-7.487,1,0.0609,0.12,0,0.142,0.513,83.905,182510
